FileName,DesArea,DesD6Area,CholArea,CholD7Area,24SHCArea,24R_S_HCD7Area,On_OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_129,13661.46698,18943.69768,18841828.64,8848462.286,131170.8845,371726.393,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_130,326410.3501,307253.2722,104443656.6,18094131.38,763246.8782,1166094.359,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_131,7054208.203,5527461.845,921409688.1,162364776.7,8499340.065,9997086.686,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_132,6224307.384,4715374.91,813217975.8,142237951.9,5879126.364,6479120.975,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_133,4084528.191,2811439.14,677263112.7,102559662.5,4847179.727,7646211.447,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_134,1662739.681,1324302.615,392996435.3,56574763.17,2653666.825,4659050.134,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_135,3269123.762,2539283.316,716847806.4,100110685.4,7218202.07,9180783.452,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_136,2464584.489,2585725.178,494220989.0,93177717.79,2301347.373,3841723.96,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_137,4296827.69,2729822.644,644002105.3,102939840.6,2916511.862,8907785.288,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_138,1671254.343,586691.1045,276212760.5,27246400.15,1198865.603,5461836.463,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_139,469081.5831,222921.475,147554274.0,11413359.67,690966.802,2111878.398,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_140,417583.6223,333483.0944,195216784.4,17642836.46,1336099.873,4683777.213,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_141,1035863.834,810266.7793,378058934.4,36393051.71,2189558.61,7246891.844,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_142,458256.2262,318576.3591,171401590.7,15426157.29,1345107.485,3321753.479,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_143,435372.5632,476144.1207,217842312.1,27901839.17,824317.5117,5680012.66,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_144,1026049.274,1206107.944,459113769.1,63495139.35,1813748.484,10815376.58,OnTissue
